idx,NONE,CHEBYSHEV,TOWER_CHEBYSHEV,FNN_BASIS,iteration
0,0.6612039956602499,0.6154200843512568,0.8206045600641191,0.6626018737249212,0
1,0.6549770000625255,0.6150797863311008,0.5406445332743052,0.6564612605525356,1
2,0.651424513013896,0.6150797863311008,0.36539248961503534,0.6426290191971156,2
3,0.6505177902908544,0.6150797863311008,0.32589882655625424,0.6128634446208754,3
4,0.6501642895242943,0.6150797863311008,0.3203616572570517,0.5709912012219653,4
5,0.649117104889249,0.6150797863311008,0.32034736881570425,0.558101716719,5
6,0.648360774667733,0.6150797863311008,0.32034736881570425,0.5468137300151452,6
7,0.6473953032104031,0.6150797863311008,0.32034736881570425,0.5194331436925593,7
8,0.6465670203320697,0.6150797863311008,0.32034736881570425,0.5020183349505531,8
9,0.6457452311570225,0.6150797863311008,0.32034736881570425,0.4959053710937509,9
10,0.6452247698949009,0.6150797863311008,0.32034736881570425,0.48886021346263137,10
11,0.6449273981328338,0.6150797863311008,0.32034736881570425,0.48644119586772405,11
12,0.6441203637763677,0.6150797863311008,0.32034736881570425,0.4781423877135864,12
13,0.6433874532698437,0.6150797863311008,0.32034736881570425,0.43120515521044417,13
14,0.6429469741997725,0.6150797863311008,0.32034736881570425,0.41059688904822983,14
15,0.6421191336623194,0.6150797863311008,0.32034736881570425,0.4005601088511305,15
16,0.6418701934159929,0.6150797863311008,0.32034736881570425,0.38661716945206487,16
17,0.6415688144718042,0.6150797863311008,0.32034736881570425,0.3711790868282977,17
18,0.6412661760951001,0.6150797863311008,0.32034736881570425,0.3362195077063709,18
19,0.6410329548558804,0.6150797863311008,0.32034736881570425,0.3067398569156307,19
20,0.6406720104695129,0.6150797863311008,0.32034736881570425,0.28466626846609194,20
21,0.6404044712562624,0.6150797863311008,0.32034736881570425,0.26940109355375685,21
22,0.6402680732429024,0.6150797863311008,0.32034736881570425,0.2644414834178594,22
23,0.6401310386095057,0.6150797863311008,0.32034736881570425,0.25461558675029883,23
24,0.6400348144089446,0.6150797863311008,0.32034736881570425,0.2489549647236762,24
25,0.6399802713942244,0.6150797863311008,0.32034736881570425,0.24475153712390849,25
26,0.6398496724216174,0.6150797863311008,0.32034736881570425,0.22633006210329373,26
27,0.6397677354803358,0.6150797863311008,0.32034736881570425,0.2060870611547345,27
28,0.6397352542677988,0.6150797863311008,0.32034736881570425,0.19441313892904546,28
29,0.6396292934850267,0.6150797863311008,0.32034736881570425,0.1876413448196069,29
30,0.6395193507607717,0.6150797863311008,0.32034736881570425,0.18106999663516152,30
31,0.639454830527194,0.6150797863311008,0.32034736881570425,0.17064666770159026,31
32,0.6394008257913182,0.6150797863311008,0.32034736881570425,0.15670437935370418,32
33,0.6393117859170403,0.6150797863311008,0.32034736881570425,0.13314913965805683,33
34,0.6392451625464096,0.6150797863311008,0.32034736881570425,0.12434884217884896,34
35,0.6391949226712133,0.6150797863311008,0.32034736881570425,0.11830686046287958,35
36,0.6391611470597135,0.6150797863311008,0.32034736881570425,0.11412554127233211,36
37,0.6391324184216443,0.6150797863311008,0.32034736881570425,0.11035901160737062,37
38,0.6390911898447582,0.6150797863311008,0.32034736881570425,0.1054063012178759,38
39,0.6390374446575408,0.6150797863311008,0.32034736881570425,0.09538698864566626,39
40,0.6389323366930606,0.6150797863311008,0.32034736881570425,0.08865179594730656,40
41,0.6389001779071141,0.6150797863311008,0.32034736881570425,0.0795032305351873,41
42,0.638850119975267,0.6150797863311008,0.32034736881570425,0.06741504318292474,42
43,0.6388138984310614,0.6150797863311008,0.32034736881570425,0.05031308932017182,43
44,0.6387943710052459,0.6150797863311008,0.32034736881570425,0.029604495492865417,44
45,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.01906698578193097,45
46,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.010425433123769876,46
47,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.004418027161454342,47
48,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.002480928916460781,48
49,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.0017368281234757302,49
50,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.0013835855020662413,50
51,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.0008794898770656838,51
52,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.0007780578306644099,52
53,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.0006857161988301567,53
54,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.0005322903980223572,54
55,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.00046015435706542513,55
56,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.0004007233325918659,56
57,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.00029911594626537365,57
58,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.0001832303196857358,58
59,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.0001623358977537205,59
60,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.0001533237339590347,60
61,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.00013764922694247195,61
62,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.0001222121440132831,62
63,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.00011582315114030729,63
64,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.00011271783776335759,64
65,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.00010767044207194278,65
66,0.6387870255940996,0.6150797863311008,0.32034736881570425,0.00010530081322952005,66
67,0.6387870255940996,0.6150797863311008,0.32034736881570425,9.896803255594713e-05,67
68,0.6387870255940996,0.6150797863311008,0.32034736881570425,9.127830574118545e-05,68
69,0.6387870255940996,0.6150797863311008,0.32034736881570425,8.726858707964059e-05,69
70,0.6387870255940996,0.6150797863311008,0.32034736881570425,7.957312135641735e-05,70
71,0.6387870255940996,0.6150797863311008,0.32034736881570425,7.41761942158523e-05,71
72,0.6387870255940996,0.6150797863311008,0.32034736881570425,7.063502783304039e-05,72
73,0.6387870255940996,0.6150797863311008,0.32034736881570425,6.246594739688907e-05,73
74,0.6387870255940996,0.6150797863311008,0.32034736881570425,5.370010650918924e-05,74
75,0.6387870255940996,0.6150797863311008,0.32034736881570425,4.3644480391108347e-05,75
76,0.6387870255940996,0.6150797863311008,0.32034736881570425,4.063918914972547e-05,76
77,0.6387870255940996,0.6150797863311008,0.32034736881570425,3.763155608704973e-05,77
78,0.6387870255940996,0.6150797863311008,0.32034736881570425,3.559205865872195e-05,78
79,0.6387870255940996,0.6150797863311008,0.32034736881570425,3.336923328878724e-05,79
80,0.6387870255940996,0.6150797863311008,0.32034736881570425,2.841861672796345e-05,80
81,0.6387870255940996,0.6150797863311008,0.32034736881570425,2.7947386926949057e-05,81
82,0.6387870255940996,0.6150797863311008,0.32034736881570425,2.680907489486956e-05,82
83,0.6387870255940996,0.6150797863311008,0.32034736881570425,2.5060202679418354e-05,83
84,0.6387870255940996,0.6150797863311008,0.32034736881570425,2.4483401192274053e-05,84
85,0.6387870255940996,0.6150797863311008,0.32034736881570425,2.3955534068346026e-05,85
86,0.6387870255940996,0.6150797863311008,0.32034736881570425,2.390908034718236e-05,86
87,0.6387870255940996,0.6150797863311008,0.32034736881570425,2.390908034718236e-05,87
88,0.6387870255940996,0.6150797863311008,0.32034736881570425,2.390908034718236e-05,88
89,0.6387870255940996,0.6150797863311008,0.32034736881570425,2.390908034718236e-05,89
90,0.6387870255940996,0.6150797863311008,0.32034736881570425,2.390908034718236e-05,90
91,0.6387870255940996,0.6150797863311008,0.32034736881570425,2.390908034718236e-05,91
92,0.6387870255940996,0.6150797863311008,0.32034736881570425,2.390908034718236e-05,92
93,0.6387870255940996,0.6150797863311008,0.32034736881570425,2.390908034718236e-05,93
94,0.6387870255940996,0.6150797863311008,0.32034736881570425,2.390908034718236e-05,94
95,0.6387870255940996,0.6150797863311008,0.32034736881570425,2.390908034718236e-05,95
96,0.6387870255940996,0.6150797863311008,0.32034736881570425,2.390908034718236e-05,96
97,0.6387870255940996,0.6150797863311008,0.32034736881570425,2.390908034718236e-05,97
98,0.6387870255940996,0.6150797863311008,0.32034736881570425,2.390908034718236e-05,98
99,0.6387870255940996,0.6150797863311008,0.32034736881570425,2.390908034718236e-05,99
