idx,NONE,CHEBYSHEV,TOWER_CHEBYSHEV,FNN_BASIS,x,analytical
0,0.7492070198059082,0.7487542927265167,0.7499904334545135,0.7499989867210388,0.0,0.75
1,0.7471618950366974,0.7584134042263031,0.7484648525714874,0.7511073052883148,0.01010101,0.7514290688668317
2,0.7441482841968536,0.7605112493038177,0.7521389126777649,0.7559917569160461,0.02020202,0.756447750220793
3,0.7402721047401428,0.7575215697288513,0.7607839405536652,0.76240374147892,0.030303031,0.7624957328847053
4,0.7356378436088562,0.7510813474655151,0.7683829069137573,0.7675009071826935,0.04040404,0.7671865013696488
5,0.730344146490097,0.7423571050167084,0.7698692977428436,0.7686023414134979,0.05050505,0.7683073594914775
6,0.7244883179664612,0.7322054505348206,0.7631950378417969,0.7638386487960815,0.060606062,0.7638193933843158
7,0.7181613147258759,0.7212701439857483,0.7491363883018494,0.7525930106639862,0.07070707,0.7517011834347016
8,0.7114525735378265,0.7100338339805603,0.7302268445491791,0.7356259822845459,0.08080808,0.7334718448512673
9,0.704442024230957,0.6988593935966492,0.7095771729946136,0.714891105890274,0.09090909,0.7125391400741293
10,0.6972083449363708,0.6880130916833878,0.6899614036083221,0.693078339099884,0.1010101,0.69167491699457
11,0.6898252367973328,0.6776840686798096,0.6732863485813141,0.6729966402053833,0.11111111,0.6730089706345955
12,0.6823590397834778,0.667998805642128,0.6604296416044235,0.656952828168869,0.121212125,0.6580291522994903
13,0.674871027469635,0.6590398252010345,0.6513442695140839,0.6462519466876984,0.13131313,0.6475813354185994
14,0.6674187779426575,0.6508459001779556,0.6453300267457962,0.6409597396850586,0.14141414,0.6418693647284867
15,0.6600527465343475,0.6434257626533508,0.6413608193397522,0.6399587988853455,0.15151516,0.640455165674515
16,0.6528201103210449,0.6367649734020233,0.6383916139602661,0.6412926018238068,0.16161616,0.6415519884591222
17,0.6457591950893402,0.6308298707008362,0.6355840563774109,0.6427058279514313,0.17171717,0.6424982533673258
18,0.6389071345329285,0.6255725473165512,0.6324375197291374,0.6422411203384399,0.18181819,0.6419080360607048
19,0.6322931051254272,0.6209363043308258,0.6288254261016846,0.6387404501438141,0.1919192,0.6390183452710831
20,0.625942051410675,0.6168580055236816,0.6249387562274933,0.6321256458759308,0.2020202,0.6336826620857905
21,0.6198756694793701,0.6132698357105255,0.6211860477924347,0.6233938932418823,0.21212122,0.6263709304961085
22,0.6141081154346466,0.610103577375412,0.6180588603019714,0.6143449246883392,0.22222222,0.6181695978202448
23,0.6086512207984924,0.6072914451360703,0.6160020679235458,0.6071134805679321,0.23232323,0.6107815591137224
24,0.6035124659538269,0.6047678589820862,0.6153082400560379,0.6036079823970795,0.24242425,0.6065261602499387
25,0.5986942052841187,0.6024722903966904,0.6160460710525513,0.6049803793430328,0.25252524,0.6085197955480507
26,0.5941967964172363,0.6003455370664597,0.6180400252342224,0.6112281978130341,0.26262626,0.617178291567122
27,0.5900164246559143,0.5983358919620514,0.6208873093128204,0.621081531047821,0.27272728,0.6286470083694292
28,0.586146354675293,0.5963982045650482,0.6240139901638031,0.6322344243526459,0.28282827,0.6396385414912312
29,0.5825763642787933,0.5944910645484924,0.626755028963089,0.6418856680393219,0.2929293,0.647665447582497
30,0.579294741153717,0.5925789177417755,0.628447026014328,0.6474319994449615,0.3030303,0.6510400321639114
31,0.5762872993946075,0.5906352996826172,0.628518283367157,0.647092193365097,0.3131313,0.6488745571671537
32,0.5735384821891785,0.5886369943618774,0.6265651285648346,0.6403060853481293,0.32323232,0.6410810713806074
33,0.571029931306839,0.5865685343742371,0.6224003434181213,0.6278460621833801,0.33333334,0.6283715451352556
34,0.5687439143657684,0.5844192206859589,0.6160827875137329,0.6116468608379364,0.34343433,0.6122578604861137
35,0.5666607022285461,0.5821823477745056,0.6079069077968597,0.5943901538848877,0.35353535,0.5950521435000867
36,0.5647594332695007,0.5798577666282654,0.5983705818653107,0.5788845717906952,0.36363637,0.5800946920773267
37,0.5630199015140533,0.5774482488632202,0.5881188213825226,0.5674029588699341,0.37373737,0.569200313534768
38,0.5614218711853027,0.5749605298042297,0.5778717398643494,0.5611432790756226,0.3838384,0.5627230011984747
39,0.559944212436676,0.5724048912525177,0.5683484673500061,0.5599943399429321,0.3939394,0.5605071365257159
40,0.5585676729679108,0.5697949528694153,0.5601902902126312,0.5626612603664398,0.4040404,0.5618873380762359
41,0.5572722256183624,0.5671444535255432,0.5539020597934723,0.567091315984726,0.41414142,0.5656885351418934
42,0.5560398697853088,0.5644707083702087,0.5498013198375702,0.5710572898387909,0.42424244,0.5702259288232121
43,0.5548528730869293,0.561791256070137,0.5479970872402191,0.5727315247058868,0.43434343,0.5733049814367408
44,0.5536952018737793,0.5591233372688293,0.54838827252388,0.5711117386817932,0.44444445,0.5722427425116368
45,0.5525529086589813,0.5564874112606049,0.5506820678710938,0.5662395358085632,0.45454547,0.5662109845868195
46,0.551411360502243,0.5538987815380096,0.5544366240501404,0.5591738522052765,0.46464646,0.5581755490342886
47,0.550259530544281,0.5513774305582047,0.5591098368167877,0.5517479181289673,0.47474748,0.550845345081427
48,0.5490866601467133,0.5489387065172195,0.5641219913959503,0.5461275279521942,0.4848485,0.5461903594687253
49,0.5478850901126862,0.5465976595878601,0.5689128041267395,0.5442573130130768,0.4949495,0.5454415577038617
50,0.546646922826767,0.5443689227104187,0.5729948878288269,0.5472933650016785,0.5050505,0.5490908954584299
51,0.5453686416149139,0.5422626584768295,0.5759980380535126,0.5551975965499878,0.5151515,0.5568913785487335
52,0.5440463721752167,0.5402898043394089,0.5776885747909546,0.5666244029998779,0.5252525,0.5678570298853903
53,0.5426784455776215,0.5384582281112671,0.5779843926429749,0.579190194606781,0.53535354,0.5801014634730646
54,0.5412651002407074,0.5367732048034668,0.5769384801387787,0.5900419652462006,0.54545456,0.5900980466869051
55,0.5398082137107849,0.5352382957935333,0.5747185945510864,0.5965793430805206,0.5555556,0.5959561955006988
56,0.5383100509643555,0.5338548719882965,0.5715724527835846,0.5971002280712128,0.56565654,0.5967944182996848
57,0.5367764532566071,0.5326223969459534,0.5677820891141891,0.5912024974822998,0.57575756,0.5923987327846579
58,0.535211980342865,0.5315379202365875,0.5636256337165833,0.5798534750938416,0.5858586,0.5832226367700714
59,0.5336247086524963,0.5305967330932617,0.5593409687280655,0.5651306807994843,0.5959596,0.5703871546738277
60,0.532020777463913,0.5297932028770447,0.5550995469093323,0.5497155487537384,0.6060606,0.5556808347085308
61,0.5304098725318909,0.5291185975074768,0.5509964823722839,0.5362740755081177,0.61616164,0.5415597076481358
62,0.528800368309021,0.5285641252994537,0.5470540225505829,0.5268680155277252,0.6262626,0.5311474155304172
63,0.5272031426429749,0.5281204879283905,0.54323810338974,0.5225239098072052,0.6363636,0.5277962032697538
64,0.5256266593933105,0.5277756154537201,0.5394909679889679,0.5230582058429718,0.64646465,0.530324254454903
65,0.5240805745124817,0.5275181829929352,0.5357659459114075,0.5271798372268677,0.65656567,0.5355246038563383
66,0.5225752890110016,0.5273366868495941,0.5320623815059662,0.5328565537929535,0.6666667,0.5408825763427073
67,0.5211203694343567,0.5272179841995239,0.5284577310085297,0.537848711013794,0.6767677,0.5445861909640789
68,0.5197238028049469,0.5271517932415009,0.525120735168457,0.5402891635894775,0.68686867,0.5455261592630393
69,0.5183937251567841,0.5271253883838654,0.522311806678772,0.5391726791858673,0.6969697,0.5432959075049538
70,0.5171376764774323,0.5271279513835907,0.5203582346439362,0.5346262156963348,0.7070707,0.5381915198702627
71,0.5159618854522705,0.5271489024162292,0.5196108818054199,0.5278858542442322,0.7171717,0.5312118128871971
72,0.5148703157901764,0.5271789729595184,0.5203864574432373,0.5209807753562927,0.72727275,0.5240582359419164
73,0.5138674974441528,0.5272087156772614,0.5228936672210693,0.5161881446838379,0.7373737,0.5191815849701983
74,0.5129553079605103,0.5272291600704193,0.5271688997745514,0.5154049396514893,0.74747473,0.519690483341832
75,0.5121327638626099,0.5272345840930939,0.5330195426940918,0.5195988714694977,0.75757575,0.5250957410628212
76,0.5114001035690308,0.5272170603275299,0.5399968922138214,0.5284972786903381,0.7676768,0.5338524095946009
77,0.510753720998764,0.527169793844223,0.5474033951759338,0.5405983030796051,0.7777778,0.5444077521218315
78,0.5101879835128784,0.5270872414112091,0.5543456673622131,0.5535047054290771,0.7878788,0.5552012329692971
79,0.5096955895423889,0.5269623398780823,0.5598329603672028,0.5644755065441132,0.7979798,0.5646644733655943
80,0.5092684328556061,0.5267882347106934,0.5629160404205322,0.5710667669773102,0.8080808,0.5712214949565162
81,0.5088950097560883,0.5265565514564514,0.562846451997757,0.5716927945613861,0.8181818,0.5732882983996099
82,0.5085622072219849,0.5262587070465088,0.5592384189367294,0.5660008192062378,0.82828283,0.5692732073749092
83,0.5082553029060364,0.5258828103542328,0.552202433347702,0.5549734234809875,0.83838385,0.5581329435008447
84,0.507956475019455,0.5254148244857788,0.542415052652359,0.5407267808914185,0.8484849,0.543097807594503
85,0.5076479315757751,0.5248401165008545,0.5310922861099243,0.5260179936885834,0.85858583,0.5279839897209028
86,0.5073094666004181,0.5241368114948273,0.5198556929826736,0.5135737359523773,0.86868685,0.5155240768741128
87,0.5069183111190796,0.5232850611209869,0.5104710757732391,0.5054217576980591,0.8787879,0.5074543719305472
88,0.5064510703086853,0.5222592055797577,0.5044977962970734,0.5024344623088837,0.8888889,0.5045144896899083
89,0.505883514881134,0.5210335999727249,0.5028919130563736,0.5042033195495605,0.8989899,0.5064474809627212
90,0.5051892697811127,0.519582524895668,0.5056510865688324,0.5092493295669556,0.90909094,0.51199978136454
91,0.5043413043022156,0.5178846716880798,0.511618584394455,0.5154664516448975,0.9191919,0.5189212569652408
92,0.5033127963542938,0.5159285664558411,0.5185710191726685,0.5206620991230011,0.9292929,0.5241111406513123
93,0.5020748674869537,0.513720728456974,0.5236900895833969,0.5230997800827026,0.93939394,0.5259632964262332
94,0.5005993247032166,0.5113013088703156,0.5244448781013489,0.5219222605228424,0.94949496,0.5245770838559467
95,0.49885883927345276,0.508768804371357,0.5197647213935852,0.5173891484737396,0.959596,0.5205012149455107
96,0.4968239665031433,0.5063222199678421,0.5111130326986313,0.5108401477336884,0.969697,0.5147256126934115
97,0.494468092918396,0.5043355152010918,0.5026977062225342,0.5043630301952362,0.97979796,0.5086814507582202
98,0.4917641580104828,0.5035112798213959,0.49955999851226807,0.5002228915691376,0.989899,0.504240981234758
99,0.4886868894100189,0.5052270740270615,0.5017344653606415,0.5001766383647919,1.0,0.5037178007240238
